ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,รถบรรทุกขนาดเล็ก (4 ล้อ),รถบรรทุกขนาด 2 เพลา (6ล้อ),รถบรรทุกขนาด 3 เพลา (10ล้อ),รถบรรทุกพ่วง (มากกว่า 3 เพลา),รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,% ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
227,101,กาฬสินธุ์ - แยกดงแหลม,4+000,990,807,71,40,37,908,525,448,272,244,4342,36.06,45,987,กาฬสินธุ์,กาฬสินธุ์
228,202,ศรีบุญเรือง - วังหมื่น,84+384,8197,7915,74,40,25,1839,604,385,461,338,19878,9.325,13,3455,หนองบัวลำภู,หนองบัวลำภู
228,202,ศรีบุญเรือง - วังหมื่น,57+210,4538,2115,43,13,22,1610,998,531,449,272,10591,21.568,5,1862,หนองบัวลำภู,หนองบัวลำภู
228,100,ชุมแพ - ห้วยสายหนัง,0+423,2215,2169,218,211,219,9931,1005,865,802,656,18290,20.545,84,4817,ขอนแก่นที่ 2 (ชุมแพ),ขอนแก่น
229,101,บ้านไผ่ - มัญจาคีรี,6+595,4305,1046,19,11,26,4898,477,281,182,203,11450,10.314,16,2207,ขอนแก่นที่ 3 (บ้านไผ่),ขอนแก่น
229,102,มัญจาคีรี - ห้วยสามหมอ,46+973,4066,4114,501,216,191,1550,1327,1310,1251,1146,15671,34.713,220,1358,ขอนแก่นที่ 3 (บ้านไผ่),ขอนแก่น
230,101,ถนนวงแหวนรอบเมืองขอนแก่นด้านทิศตะวันตก,11+000,14424,8365,199,199,201,1254,1473,1525,1284,971,29893,18.908,179,2973,ขอนแก่นที่ 1,ขอนแก่น
230,102,ถนนวงแหวนรอบเมืองขอนแก่นด้านทิศตะวันออก,35+000,5197,5021,0,0,844,5771,892,1201,1296,1147,21369,25.179,30,3151,ขอนแก่นที่ 1,ขอนแก่น
231,101,ถนนวงแหวนรอบเมืองอุบลราชธานี,8+150,22712,16380,91,86,186,9119,1158,859,8,25,50624,4.587,34,6495,อุบลราชธานีที่ 1,อุบลราชธานี
231,200,ถนนวงแหวนรอบเมืองอุบลราชธานี,30+400,2124,1800,0,0,0,4604,759,508,267,61,10124,15.76,48,1825,อุบลราชธานีที่ 2,อุบลราชธานี
232,100,ถนนวงแหวนรอบเมืองร้อยเอ็ด,20+116,4704,2534,50,31,26,4124,706,590,429,288,13484,15.357,11,2499,ร้อยเอ็ด,ร้อยเอ็ด
232,100,ถนนวงแหวนรอบเมืองร้อยเอ็ด,14+500,4520,2363,73,55,42,3956,742,644,448,294,13138,16.935,7,2314,ร้อยเอ็ด,ร้อยเอ็ด
232,100,ถนนวงแหวนรอบเมืองร้อยเอ็ด,1+500,2976,1252,0,0,0,3045,681,480,504,386,9323,21.989,4,949,ร้อยเอ็ด,ร้อยเอ็ด
234,100,ทางเลี่ยงเมืองเพชรบูรณ์,9+000,1059,785,25,14,2,2151,214,190,204,196,4839,16.946,130,876,เพชรบูรณ์ที่ 1,เพชรบูรณ์
238,100,ทางเลี่ยงเมืองมุกดาหาร,4+963,2350,1091,93,29,21,2571,582,633,806,979,9154,33.313,160,1779,มุกดาหาร,มุกดาหาร
241,100,ทางเลี่ยงเมืองสกลนคร,5+000,4552,3832,171,195,185,7569,1104,657,506,401,19172,15.899,96,3021,สกลนครที่ 1,สกลนคร
242,101,หนองคาย - หนองบัว,1+189,6279,2396,1010,596,481,1881,1223,987,752,707,16311,29.093,1079,4498,หนองคาย,หนองคาย
