ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
11,201,ช่องแค - ตากฟ้า,38+850,"1,301",678,18,8,7,"2,507",163,229,932,516,"6,359",29.171,5,446,ขท.นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
11,202,ตากฟ้า - ไดตาล,71+000,"1,235",160,27,0,12,"2,312",158,190,830,365,"5,289",29.401,10,203,ขท.นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
11,204,น้ำสาดเหนือ - หนองกลับ,99+500,"1,210","1,487",42,26,18,"1,119",310,350,942,505,"6,009",35.796,0,660,ขท.นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
11,204,น้ำสาดเหนือ - หนองกลับ,111+650,688,696,19,2,5,"1,976",167,364,624,579,"5,120",34.004,3,379,ขท.นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
11,301,หนองกลับ - เขาทราย,122+100,"1,047",898,18,9,13,823,267,147,212,163,"3,597",22.547,7,321,ขท.พิจิตร,พิจิตร
11,302,เขาทราย - สากเหล็ก,143+294,"1,574",667,16,8,27,"2,578",277,201,275,284,"5,907",18.148,14,741,ขท.พิจิตร,พิจิตร
11,401,สากเหล็ก - กกไม้แดง,186+983,"2,998",549,66,4,37,"2,990",301,155,253,146,"7,499",11.948,44,1485,ขท.พิษณุโลกที่ 2 (วังทอง),พิษณุโลก
11,402,กกไม้แดง - บ้านป่า,210+841,"2,629","2,222",72,0,195,"4,511",573,667,547,128,"11,544",18.278,32,1562,ขท.พิษณุโลกที่ 2 (วังทอง),พิษณุโลก
11,403,บ้านป่า - นาอิน,236+235,"8,898","3,560",38,38,166,"5,080",637,723,726,396,"20,262",13.256,8,1055,ขท.พิษณุโลกที่ 2 (วังทอง),พิษณุโลก
11,501,นาอิน - ชัยมงคล,276+099,"4,079","2,097",36,22,71,"1,756",604,476,653,788,"10,582",24.702,5,169,ขท.อุตรดิตถ์ที่ 1,อุตรดิตถ์
11,502,ชัยมงคล- บึงหลัก,316+698,"6,155","2,114",45,18,33,"4,185",702,450,347,442,"14,491",13.746,28,1342,ขท.อุตรดิตถ์ที่ 1,อุตรดิตถ์
11,503,บึงหลัก - หนองน้ำเขียว,328+826,"3,700","1,212",162,15,60,"6,718",618,331,367,378,"13,561",13.045,7,896,ขท.อุตรดิตถ์ที่ 1,อุตรดิตถ์
11,503,บึงหลัก - หนองน้ำเขียว,351+340,"3,144","1,189",1,6,91,"4,268",670,725,633,474,"11,201",23.203,14,396,ขท.อุตรดิตถ์ที่ 1,อุตรดิตถ์
11,601,หนองน้ำเขียว - ปางเคาะ,369+006,"3,070","1,395",40,33,58,"6,051",499,418,348,216,"12,128",12.962,9,1877,ขท.แพร่,แพร่
11,601,หนองน้ำเขียว - ปางเคาะ,374+406,"3,701",832,44,49,38,187,397,213,209,166,"5,836",18.369,25,816,ขท.แพร่,แพร่
11,602,ปางเคาะ - ปางมะโอ,412+009,"1,317",505,72,39,44,"2,800",264,107,72,98,"5,318",11.734,20,378,ขท.แพร่,แพร่
11,701,ปางมะโอ - ป่าขาม,425+509,"2,845",257,64,57,35,"3,835",278,268,111,242,"7,992",12.4,0,781,ขท.ลำปางที่ 1,ลำปาง
11,701,ปางมะโอ - ป่าขาม,453+219,"6,990",451,95,149,78,"7,678",303,140,260,292,"16,436",7.435,2,2215,ขท.ลำปางที่ 1,ลำปาง
11,702,แยกภาคเหนือ - ขุนตาน,469+099,"5,957",617,121,20,56,"7,150","1,319","1,119","1,261",934,"18,554",25.38,35,2086,ขท.ลำปางที่ 1,ลำปาง
11,800,ขุนตาน - อุโมงค์,526+949,"8,913","3,397",371,204,503,"5,182","1,606",981,776,492,"22,425",20.343,0,4202,ขท.ลำพูน,ลำพูน
11,800,ขุนตาน - อุโมงค์,532+949,"9,651","4,991",371,171,542,"4,722","2,116","1,657","1,175",840,"26,236",24.779,0,3926,ขท.ลำพูน,ลำพูน
11,900,อุโมงค์ - รินคำ,543+850,"22,497","9,082","2,335","2,109","2,267","5,403","3,082","2,648","1,420","2,138","52,981",25.79,464,3984,ขท.เชียงใหม่ที่ 2,เชียงใหม่
11,900,อุโมงค์ - รินคำ,551+500,"19,011","12,087","2,424","1,958","2,617","8,882","3,637","3,192","2,239","2,635","58,682",27.739,652,5776,ขท.เชียงใหม่ที่ 2,เชียงใหม่
12,100,กลางสะพานมิตรภาพที่แม่สอด(เขตแดน ไทย / พม่า) - แม่ละเมา,10+015,"2,481","1,341",229,17,11,"4,526",669,267,380,391,"10,312",16.825,165,2672,ขท.ตากที่ 2 (แม่สอด),ตาก
12,201,แม่ละเมา - ตาก,56+405,"2,211","1,109",25,47,9,"1,262",331,154,272,727,"6,147",25.053,2,225,ขท.ตากที่ 1,ตาก
12,202,ตาก - หนองเสือ,114+630,"1,782","1,299",17,9,14,"1,747",88,117,143,181,"5,397",10.228,5,960,ขท.ตากที่ 1,ตาก
12,203,หนองเสือ - วังวน,151+480,"2,572","3,905",585,490,602,"2,029",867,630,577,478,"12,735",28.614,142,1397,ขท.ตากที่ 1,สุโขทัย
12,302,เมืองเก่า - สุโขทัย,168+980,"10,034","3,480",88,218,134,794,554,406,352,338,"16,398",12.209,554,4145,ขท.สุโขทัย,สุโขทัย
12,303,สุโขทัย - บ้านกร่าง,184+769,"3,895","2,994",184,106,87,644,313,118,89,72,"8,502",9.233,133,1559,ขท.สุโขทัย,สุโขทัย
12,401,บ้านกร่าง - พิษณุโลก,198+000,"3,118","3,224","1,436","1,455",526,"2,141",761,719,710,599,"14,689",32.473,502,1493,ขท.พิษณุโลกที่ 1,สุโขทัย
