ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงทางหลวง,จังหวัด
4016,102,พรหมคีรี - นบพิตำ,32+000,"1,639","1,158",60,27,0,"1,439",472,106,47,10,"4,958",13.352,3,1283,ขท.นครศรีธรรมราชที่ 1,นครศรีธรรมราช
4018,100,ทุ่งโป๊ะ - ไม้เสียบ,4+400,"1,142",836,43,0,2,"1,269",333,293,197,102,"4,217",21.982,12,970,ขท.นครศรีธรรมราชที่ 2 (ทุ่งสง),นครศรีธรรมราช
4018,100,ทุ่งโป๊ะ - ไม้เสียบ,16+777,"1,366",956,30,18,15,"1,370",429,411,257,168,"5,020",25.857,15,1212,ขท.นครศรีธรรมราชที่ 2 (ทุ่งสง),นครศรีธรรมราช
4018,200,ไม้เสียบ - หัวถนน,29+562,"1,530",523,10,5,0,"1,464",168,25,0,0,"3,725",5.315,9,1702,ขท.พัทลุง,พัทลุง
4018,200,ไม้เสียบ - หัวถนน,42+272,784,347,3,1,0,994,124,29,1,0,"2,283",6.789,13,1245,ขท.พัทลุง,พัทลุง
4019,100,ทุ่งใหญ่ - ช้างกลาง,6+300,"1,014",861,41,28,22,444,294,264,142,52,"3,162",25.364,1,1046,ขท.นครศรีธรรมราชที่ 2 (ทุ่งสง),นครศรีธรรมราช
4020,100,เมืองภูเก็ต - กะทู้,1+112,"12,121","1,043",263,29,71,"5,723",271,189,15,12,"19,737",2.974,10,8315,ขท.ภูเก็ต,ภูเก็ต
4021,100,เมืองภูเก็ต - ห้าแยกฉลอง,0+651,"5,918","4,447",96,85,50,"4,952",127,16,20,2,"15,713",1.909,45,8546,ขท.ภูเก็ต,ภูเก็ต
4022,100,โรงเรียนวิชิตสงคราม - สนามสุรกุล,0+200,"2,780",193,41,6,1,"1,664",28,3,0,0,"4,716",0.806,16,2129,ขท.ภูเก็ต,ภูเก็ต
4023,100,เมืองภูเก็ต - แหลมพันวา,2+450,"1,524","1,596",25,18,13,"1,456",18,15,6,0,"4,671",1.499,29,1531,ขท.ภูเก็ต,ภูเก็ต
