k,n,geh5,geh10,median_geh,r2,rmse,stream,beta,n_used,intrazonal_pct
0.027609982229458832,1943,4.477611940298507,9.109624292331446,57.29553278030054,0.02726835015473572,19506.876646119425,pax,0.015,1943,4.009241187724015
0.03875155530956661,1943,5.609881626351004,10.499227997941327,56.05181096715399,0.0295225434568801,19484.261068938205,pax,0.025,1943,7.133721332014533
0.044556737613193335,1943,5.970149253731343,10.499227997941327,56.59882144755977,-0.0017992709953238428,19796.18801748343,pax,0.035,1943,10.385225792157755
0.046397164760346984,1943,4.5290787442099845,9.624292331446217,58.06412132501714,-0.04232282786503183,20192.604492765546,pax,0.045,1943,13.570569699997204
0.04542651400051066,1943,4.734945959855893,8.337622233659289,61.57350014190634,-0.09681557578804334,20713.716067863596,pax,0.06,1943,18.060247792699872
0.04195310896257473,1943,3.654143077714874,6.793618116314977,68.91821258939575,-0.1489212066264456,21200.023244716223,pax,0.08,1943,23.37507054291576
0.11907203814001513,1943,2.058672156459084,4.1688111168296444,87.91759870729061,-0.05026605143356133,21544.80959143977,frg,0.008,1943,4.102404033381768
0.14226169722003804,1943,1.7498713329902211,3.242408646423057,87.94965588989234,-0.07685914033898955,21815.865415947097,frg,0.015,1943,6.541167659619659
0.1578801904177329,1943,2.2645393721049922,4.117344312918168,88.72989980252993,-0.11654664582766716,22214.238588429784,frg,0.025,1943,10.098982487314947
0.16136666354059376,1943,1.8013381369016985,3.3453422542460114,91.10614581952723,-0.1544611024535647,22588.253277796106,frg,0.035,1943,13.467658037345902
0.16295077126817376,1943,1.4410705095213587,3.0365414307771488,92.715227938453,-0.19355510783147034,22967.52692871161,frg,0.05,1943,17.87906810621644
